,Profit
42,71498.49
40,78239.91
19,122776.86
34,96712.8
45,64926.08
23,108733.99
28,103282.38
3,182901.99
36,90708.19
7,155752.6
30,99937.59
22,110352.25
35,96479.51
9,149759.96
8,152211.77
24,108552.04
12,141585.52
38,81229.06
0,192261.83
6,156122.51
2,191050.39
33,96778.92
18,124266.9
32,97427.84
44,65200.33
46,49490.75
31,97483.56
11,144259.4
27,105008.31
29,101004.64
43,69758.98
39,81005.76
16,126992.93
48,35673.41
10,146121.95
21,111313.02
26,105733.54
15,129917.04
13,134307.35
20,118474.03
